date,close,,,original close
29-Sep-15,1,,,1
30-Sep-15,56,,,55
1-Oct-15,97,,,41
2-Oct-15,121,,,24
3-Oct-15,145,,,24
4-Oct-15,180,,,35
5-Oct-15,182,,,2
6-Oct-15,194,,,12
7-Oct-15,226,,,32
8-Oct-15,238,,,12
9-Oct-15,254,,,16
10-Oct-15,259,,,5
11-Oct-15,273,,,14
12-Oct-15,289,,,16
13-Oct-15,299,,,10
14-Oct-15,304,,,5
15-Oct-15,327,,,23
16-Oct-15,343,,,16
17-Oct-15,374,,,31
18-Oct-15,382,,,8
19-Oct-15,387,,,5
20-Oct-15,401,,,14
21-Oct-15,410,,,9
22-Oct-15,419,,,9
23-Oct-15,443,,,24
24-Oct-15,457,,,14
25-Oct-15,462,,,5
26-Oct-15,467,,,5
27-Oct-15,485,,,18
28-Oct-15,503,,,18
29-Oct-15,518,,,15
30-Oct-15,550,,,32
31-Oct-15,562,,,12
1-Nov-15,570,,,8
2-Nov-15,574,,,4
3-Nov-15,580,,,6
4-Nov-15,582,,,2
5-Nov-15,585,,,3
6-Nov-15,586,,,1
7-Nov-15,595,,,9
8-Nov-15,607,,,12
9-Nov-15,611,,,4
10-Nov-15,617,,,6
11-Nov-15,619,,,2
12-Nov-15,628,,,9
13-Nov-15,632,,,4
14-Nov-15,634,,,2
15-Nov-15,650,,,16
16-Nov-15,652,,,2
17-Nov-15,658,,,6
18-Nov-15,663,,,5
19-Nov-15,670,,,7
20-Nov-15,681,,,11
21-Nov-15,687,,,6
22-Nov-15,691,,,4
23-Nov-15,693,,,2
24-Nov-15,698,,,5
25-Nov-15,708,,,10
26-Nov-15,722,,,14
27-Nov-15,730,,,8
28-Nov-15,740,,,10
29-Nov-15,756,,,16
30-Nov-15,768,,,12
1-Dec-15,771,,,3
2-Dec-15,783,,,12
3-Dec-15,790,,,7
4-Dec-15,799,,,9
5-Dec-15,801,,,2
6-Dec-15,811,,,10
7-Dec-15,833,,,22
8-Dec-15,839,,,6
9-Dec-15,846,,,7
10-Dec-15,851,,,5
11-Dec-15,855,,,4
12-Dec-15,861,,,6
13-Dec-15,876,,,15
14-Dec-15,896,,,20
15-Dec-15,908,,,12
16-Dec-15,912,,,4
17-Dec-15,921,,,9
18-Dec-15,924,,,3
19-Dec-15,929,,,5
20-Dec-15,939,,,10
21-Dec-15,950,,,11
22-Dec-15,957,,,7
23-Dec-15,962,,,5
24-Dec-15,975,,,13
25-Dec-15,991,,,16
26-Dec-15,1001,,,10
27-Dec-15,1008,,,7
28-Dec-15,1019,,,11
29-Dec-15,1025,,,6
30-Dec-15,1030,,,5
31-Dec-15,1033,,,3
2-Jan-16,1036,,,3
3-Jan-16,1038,,,2
4-Jan-16,1041,,,3
6-Jan-16,1045,,,4
7-Jan-16,1046,,,1
8-Jan-16,1052,,,6
9-Jan-16,1057,,,5
10-Jan-16,1065,,,8
11-Jan-16,1077,,,12
12-Jan-16,1092,,,15
13-Jan-16,1101,,,9
15-Jan-16,1106,,,5
16-Jan-16,1110,,,4
17-Jan-16,1120,,,10
19-Jan-16,1121,,,1
20-Jan-16,1128,,,7
21-Jan-16,1138,,,10
22-Jan-16,1155,,,17
23-Jan-16,1156,,,1
24-Jan-16,1159,,,3
25-Jan-16,1163,,,4
26-Jan-16,1164,,,1
27-Jan-16,1174,,,10
28-Jan-16,1180,,,6
29-Jan-16,1184,,,4
30-Jan-16,1203,,,19
31-Jan-16,1206,,,3
1-Feb-16,1213,,,7
2-Feb-16,1222,,,9
3-Feb-16,1229,,,7
4-Feb-16,1247,,,18
5-Feb-16,1260,,,13
6-Feb-16,1263,,,3
7-Feb-16,1269,,,6
8-Feb-16,1280,,,11
9-Feb-16,1298,,,18
10-Feb-16,1308,,,10
11-Feb-16,1315,,,7
12-Feb-16,1327,,,12
13-Feb-16,1330,,,3
14-Feb-16,1347,,,17
15-Feb-16,1385,,,38
16-Feb-16,1392,,,7
17-Feb-16,1406,,,14
18-Feb-16,1414,,,8
19-Feb-16,1421,,,7
20-Feb-16,1432,,,11
21-Feb-16,1439,,,7
22-Feb-16,1443,,,4
24-Feb-16,1449,,,6
25-Feb-16,1457,,,8
26-Feb-16,1482,,,25
27-Feb-16,1493,,,11
28-Feb-16,1509,,,16
29-Feb-16,1523,,,14
1-Mar-16,1531,,,8
2-Mar-16,1533,,,2
3-Mar-16,1534,,,1
5-Mar-16,1535,,,1
6-Mar-16,1546,,,11
9-Mar-16,1550,,,4
10-Mar-16,1551,,,1
11-Mar-16,1554,,,3
12-Mar-16,1558,,,4
13-Mar-16,1561,,,3
22-Apr-16,1562,,,1
