youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,weapons,location,reference_code,type_of_violation
Kbs0bNNVEnw,Injured people in the hospital being treated as a result of the chlorine gas attack in Hamah,Kafrzita,ريف حماة الشمالي اصابات بغاز الكلور جراء استهداف الاراضي الزراعية المحيطة بالمدينة ببراميل متفجرة ,2016-10-01 18:54:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",HAMA : KafrZita,CW_1446,Use of illegal weapons
e85s0DXYGVs,The testimony of Dr Abdullah who is the manager of the medical facility in Hamah about the chlorine gas attack,Kafrzita,ريف حماة الشمالي كفرزيتا شهادة الدكتور عبدالله مدير صحة حماة الحرة باستهداف المزارع المحيطة بالمدينة,2016-10-01 18:52:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",HAMA : KafrZita,CW_1447,Use of illegal weapons
X1vkxJNMdEI,Civilians being treated as a result of chlorine gas attack in Hamah,,"حالات أختناق جراء أستهداف مدينة كفرزيتا بغاز الكلور السام من قبل قوات النظام
",2016-10-01 11:41:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",HAMA : KafrZita,CW_1448,Use of illegal weapons
hYn6uceG1Us,Location of the chemical attack in Sukkari district in Aleppo,baladi- news,مكان استهداف طائرات النظام بغاز الكلور حي السكري في حلب,2016-09-06 09:11:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1444,Use of illegal weapons
Jt3wWrL1pnU,Witness testimony about the chemical gas attack,Qasioun News Agency,"شاهد عيان على قصف قوات النظام السوري حي السكري في حلب بغاز الكلور
",2016-09-06 08:50:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1443,Use of illegal weapons
IX9N1bmaQbI,Injured civilians as a result of the chemical gas attack in Sukkari district in Aleppo,Biroya Media Foundation  ,إصابات نتيجة القصف على حي السكري ببرميل متفجر يحتوي غاز الكلور,2016-09-06 07:48:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1442,Use of illegal weapons
oUEqMIFnIoc,Injured civilians as a result of the barrel bomb attack which contains chemical gas,وكالة خطوة الإخبارية,"جرحى نتيجة استهداف حي السكري ببراميل تحتوي على مواد سامة
",2016-09-06 07:32:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1441,Use of illegal weapons
PeNCHUsZJpI,Victims as a result of the chlorine gas attack,SMART News Agency - وكالة سمارت للأنباء,"حالات اختناق بقصف للنظام بغاز""الكلور"" على حي السكري في حلب
",2016-09-06 07:10:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1440,Use of illegal weapons
Nzoahga4eLI,The location where the chlorine barrel bomb dropped . Testimonies from civilians about the chlorine gas attack. ,SMART News Agency - وكالة سمارت للأنباء,"مروحيات النظام تلقي براميل تحوي غاز الكلور على حي السكري بحلب
",2016-09-06 07:00:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1439,Use of illegal weapons
qvIJfktU71c,Victims including children as a result of the chlorine gas attack, الدفاع المدني السوري - حلب ,قصف السكري ببراميل الكلور,2016-09-06 06:54:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1438,Use of illegal weapons
