youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,weapons,location,reference_code,type_of_violation,,notes
DqgDFoUTm88,The first moment of the cluster bombs attack in Duma,Qasioun News Agency,اللحظات الأولى من سقوط صواريخ عنقودية استهدفت الأحياء السكنية في مدينة دوما بريف دمشق,2016-09-11 15:33:00+00:00,,,[<Weapon: Cluster Munition>],DAMASCUS : Duma,CL_1097,Use of illegal weapons,,
bWH_n7jcC-8,One family of 7 members got injured after midnight as a result of three Russian airstrikes,SMART News Agency - وكالة سمارت للأنباء,"أصيبت عائلة كاملة مؤلفة من سبعة أشخاص بعد منتصف الليل، إثر ثلات  غارات بالصواريخ الفراغية والقنابل العنقودية
من قبل الطيران الروسي",2016-09-09 06:43:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Binnish,CL_1082,Use of illegal weapons,,"أصيبت عائلة كاملة مؤلفة من سبعة أشخاص بعيد منتصف الليل، إثر 3 غارات بالصواريخ الفراغية والقنابل العنقودية، نفذتها طائرة روسية على مدينة بنش شرق إدلب. 
"
zOFtJ2fVlKk,Five injured including four women as a result of the Russian airstrikes with cluster bombs,SMART News Agency - وكالة سمارت للأنباء,جرح خمسة مدنيين بينهم أربع نساء فجر اليوم الخميس في ثلاث غارات للطائرات الحربية الروسية بالقنابل العنقودية,2016-09-08 06:30:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Binnish,CL_1083,Use of illegal weapons,,
skdAQcJvMrY,One causality who works with Idlib local council as a result of the Russian airstrikes with cluster bombs ,SMART News Agency - وكالة سمارت للأنباء,قتيل في غارات روسية بالقنابل العنقودية على المكتب الخدمي التابع لمحلي معرة النعمان,2016-09-05 13:48:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Maret Numan,CL_1084,Use of illegal weapons,,"قضى عامل في المكتب الخدمي التابع للمجلس المحلي بمدينة معرة النعمان جنوب إدلب، إثر غارة روسية بالقنابل العنقودية استهدفت مبنى المكتب، كما أسفرت عن تضرر 4 آليات للمجلس المحلي وخروجها بالكامل عن الخدمة. هذا وتعرضت المدينة لثلاث غارات مماثلة استهدفت مناطق مختلفة من المدينة. يقول رئيس المجلس المحلي في معرة النعمان (ناصر هزبر) ""تم تعليق عمل المجلس المحلي لثلاثة أيام حداداً على روح الشهيد وحفاظاً على أرواح باقي العمال والموظفين"". 
"
fdtC_TAGgDg,One causality and others injured as a result of the Russian airstrikes with cluster bombs,SMART News Agency - وكالة سمارت للأنباء,مقتل مدني وجرح آخرين في قصف للطيران الحربي بالقنابل العنقودية على مدينة سرمين بإدلب صباح اليوم,2016-09-03 06:39:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Sarmin nahiyah,CL_1085,Use of illegal weapons,,"قضى مدني وجرح آخرون في قصف من طائرات حربية (يعتقد أنها روسية) بقنابل عنقودية في الساعة الخامسة والنصف من صباح اليوم على مدينة سرمين بإدلب. فريق الدفاع المدني سارع لإسعاف الجرحى والعمل على انتشال القنابل العنقودية التي لم تنفجر ووجه تحذير للأهالي بعدم الاقتراب من المكان ريثما ينتهي البحث عن القنابل غير المنفجرة.
"
ofgcZysYzAc,Injured civilians as a result of six Russian airstrikes with cluster bombs,SMART News Agency - وكالة سمارت للأنباء,اصابتان في 6 غارات جوية استهدفت مدينة بنش شرق إدلب فجر اليوم,2016-09-02 11:37:00+00:00,,,"[<Weapon: Cluster Munition>, <Weapon: Incendiary Weapons>]",IDLIB : Binnish,CL_1086,Use of illegal weapons,,"أصيب شخصان بجروح إثر 6 غارات جوية بالصواريخ الفراغية والقنابل العنقودية والفوسفورية نفذتها طائرات روسية على مدينة بنش شرق إدلب فجر اليوم الجمعة، كما ألحقت الغارات أضراراً كبيرة في المحال التجارية والمنازل السكنية، حسبما ذكر أحد المدنيين ويدعى (عبد السلام علداني).
"
rbYd0QHJ8o4,Cluster bomb attack in Idlib,Qasioun News Agency,قصف بالقنابل العنقودية على بلدة التمانعة بريف ادلب,2016-08-31 10:49:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Tamana'ah nahiyah,CL_1098,Use of illegal weapons,,
7DodGBMSocE,Injured civilians as a result of the Russian airstrikes with cluster bombs,SMART News Agency - وكالة سمارت للأنباء,جرحى في غارات روسية بالقنابل العنقودية على مدينة جسر الشغور غرب إدلب,2016-08-30 13:19:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Jisr ash-Shughur,CL_1088,Use of illegal weapons,,"أصيب 7 مدنيين اليوم الثلاثاء إثر غارات بالقنابل العنقودية شنتها طائرة حربية روسية على مدينة جسر الشغور بريف إدلب، كما أدت الغارة لاندلاع حريق تمكنت فرق الدفاع المدني من السيطرة عليه.
"
55MWfEgmifc,Injured civilians as a result of the Russian airstrikes with cluster bombs and other rockets,SMART News Agency - وكالة سمارت للأنباء,غارات روسية بالقنابل العنقودية والصواريخ الفراغية على مدينة الأتارب غرب حلب,2016-08-30 10:39:00+00:00,,,[<Weapon: Cluster Munition>],ALEPPO : Al atarib,CL_1087,Use of illegal weapons,,"أصيب عدد من المدنيين اليوم الثلاثاء إثر غارات نفذتها طائرات روسية استهدفت خلالها المدخل الغربي لمدينة الأتارب غرب حلب. مراسل سمارت قال إن الطائرات نفذت 4 غارات بالصواريخ الفراغية وغارتين بقنابل عنقودية، أسفرت عن أضرار مادية واحتراق إحدى المولدات الكهربائية. يقول مسؤول الدفاع المدني في الأتارب (نجيب بكور) ""نقوم بإزالة القنابل العنقودية غير المتفجرة كي لا يتضرر منها أحد"".
"
xVZ4Q3Onh2w,Taking off the remnants of the cluster bomb used in the north of Saraqeb,Qasioun News Agency,تنظيف مكان استهداف الطيران الروسي بلدة أفس شمال سراقب من بقايا القنابل العنقودية,2016-08-26 13:37:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Afes,CL_1099,Use of illegal weapons,,
