youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,location,reference_code,type_of_violation
gm0sz7zdaz0,Russian airstrikes against civilians in Karm-Aljabal in Aleppo,Orient News,"
خرق جديد للهدنه بقصف جوي لاول مرة على الاحياء الشرقية",2016-09-18 21:21:00+00:00,,,ALEPPO : Karam al-Jabal, RU_2564,Alleged civilian casualties from Russian attacks
fjI77Xeq6Dk,Russian airstrike in Idlib with cluster bombs,Orient News,استهداف الطيران الروسي لادلب بالقنابل العنقودية,2016-09-13 08:45:00+00:00,,,IDLIB,RU_2566,Alleged civilian casualties from Russian attacks
1ukS5AhI6u8,Russian airstrikes causing 4 causalities from the same family ,Orient News,هجمات الطيران الروسي تقتل أربعة أفراد من أسرة واحدة بكفرناها,2016-09-10 21:24:00+00:00,,,ALEPPO : Kafar Naha,RU_2567,Alleged civilian casualties from Russian attacks
hyFvy01v2EM,25 casualties as a result of Russian airstrikes that targeted a public market in Idlib,Orient News,25 شهيدا بغارات روسية على المدينة,2016-09-10 16:30:00+00:00,,,IDLIB,RU_2568,Alleged civilian casualties from Russian attacks
wyjZ3SVZueI,Casualties as a result of alleged Russian attacks on a bakery ,SMART News Agency,ضحايا في قصف جوي على فرن في حريتان شمال حلب من قبل طيران حربي يرجح أنه روسي,2016-05-27 14:20:00+00:00,,,ALEPPO : Harithan,RU_2563,Alleged civilian casualties from Russian attacks
bbJas2y0lRE,11 civilian casualties and injured as a result of Russian attacks in Aleppo,SMART News Agency - وكالة سمارت للأنباء,11 قتيلاً وجرحى مدنيون في قصف جوي روسي على أحياء بحلب,2016-04-22 09:53:50+00:00,36.1942,37.140459,ALEPPO : Bustan al-Qasr,RU_2562,Alleged civilian casualties from Russian attacks
R1V5I7p99hI,Aleppo_News: the first moment when the Russian aircraft targeted Al-Hobait town in the countryside of Idlib.,شبكة حلب نيوز - Halab News Network,حلب_نيوز : اللحظات الأولى لاستهداف طيران العدوان الروسي بلدة الهبيط في ريف إدلب 2016/3/13,2016-03-13 14:51:12+00:00,35.4387845,36.5363219,IDLIB : Hobait,RU_1001,Alleged civilian casualties from Russian attacks
nWb5Iwa38dk,Russian planes launched a raid on Kafr Nabudeh in Hama countryside ,SMART News Agency - وكالة سمارت للأنباء,الطائرات الروسية تشن غارة على كفرنبودة بريف حماه,2016-03-13 14:31:41+00:00,35.433661,36.49441,HAMA : Kafr Nabudah,RU_1002,Alleged civilian casualties from Russian attacks
sWJWJfYc1o8,"Noureddine, the child who lost his legs as a result of cluster bombs dropped on the city of Duma in Damascus countryside",SMO Syria,نور الدين الطفل الذي فقد ساقيه جراء الصواريخ العنقودية على مدينة دوما بريف دمشق,2016-03-13 11:09:09+00:00,33.5709426,36.3968945,DAMASCUS : Duma,RU_1003,Alleged civilian casualties from Russian attacks
864HZdDbX68,Destruction in al-Atarib as a result of the Russian airstrikes,Syrian Network for Human Rights,حلب – الأتارب: آثار قصف الطيران الحربي يزعم انه روسي المدينة بالصواريخ 11 3 2016,2016-03-12 22:25:20+00:00,36.1393709,36.8234774,ALEPPO : Al atarib,RU_1004,Alleged civilian casualties from Russian attacks
gB2QRDQPUc4,More than 20 air strikes and 200 shells dropped on Kafr Nabudah and its surroundings in Hama countryside,المركز الصحفي السوري-Syrian Press Centre,أكثر من 20 غارة جوية و 200 قذيفة على مدينة كفرنبودة ومحيطها في ريف حماة,2016-03-12 20:43:30+00:00,35.433661,36.49441,HAMA : Kafr Nabudah,RU_1005,Alleged civilian casualties from Russian attacks
pmwaP9GR1i4,Agency Qassioun || Russian aircraft flying in the skies above Kafr Nabudah in Hama countryside ,Qasioun News Agency,وكالة قاسيون|| تحليق طيران الروسي في سماء كفرنبودة بريف حماة 12-3-2016,2016-03-12 18:52:14+00:00,35.433661,36.49441,HAMA : Kafr Nabudah,RU_1006,Alleged civilian casualties from Russian attacks
q87XgPvcLv4,# witness | The first moments military aircraft targeting the town Alhbit Hama countryside in airstrike,شبكة حلب نيوز - Halab News Network,#شاهد | اللحظات الأولى لاستهداف الطيران الحربي لبلدة الهبيط في ريف حماة بغارة جوية 2016/3/12,2016-03-12 15:43:30+00:00,35.4387845,36.5363219,IDLIB : Hobait,RU_1007,Alleged civilian casualties from Russian attacks
6mDLwS5iKa0,Coordinating Palmyra - burning one of the transport of food as a result of shelling of civilian trucks by Russian aviation,Palmyra Coordination,تنسيقية تدمر - احتراق احدى الشاحنات المدنية المخصصة لنقل المواد الغذائية نتيجة قصفها بالطيران الروسي,2016-03-11 19:30:15+00:00,34.55972222,38.31583333,HOMS : Palmyra,RU_1008,Alleged civilian casualties from Russian attacks
zXHpy4xdVmA,Coordinating Palmyra - the effects of the destruction in the homes of civilians resulting from the shelling by the aviation of Russain accupation on the city's ,Palmyra Coordination,تنسيقية تدمر - آثار الدمار في منازل المدنيين الناتج عن قصف طيران الاحتلال_الروسي على المدينة,2016-03-11 16:20:55+00:00,34.55972222,38.31583333,HOMS : Palmyra,RU_1009,Alleged civilian casualties from Russian attacks
VHJ5GXcIIJk,Agency Qassioun | The moment Russian aviation bombed al-Maraj in Damascus countryside.,Qasioun News Agency,وكالة قاسيون| لحظة قصف الطيران الروسي على منطقة المرج بريف دمشق 11-3-2016,2016-03-11 15:40:07+00:00,33.5709426,36.3968945,DAMASCUS : Duma,RU_1010,Alleged civilian casualties from Russian attacks
GuSVsqFDvIc,Coordinating Palmyra - a terrifying video showing heavy shelling on civilians by Russian aircraft.,Palmyra Coordination,تنسيقية تدمر - فيديو مرعب يوضح القصف العنيف على المدنيين من قبل الطيران الروسي 10-3-2016,2016-03-10 17:25:32+00:00,34.55972222,38.31583333,HOMS : Palmyra,RU_1011,Alleged civilian casualties from Russian attacks
37tTE-Zg6zQ,Report: Regime and Russian aircraft bombing forcing camp residents to flee for a second time in the countryside of Latakia,baladi- news,تقرير: قصف النظام والطيران الروسي يجبر سكان المخيمات على النزوح مرة ثانية في ريف اللاذقية,2016-03-09 12:28:10+00:00,35.7874449,36.0372269,LATTAKIA : Jabal Turkman,RU_1012,Alleged civilian casualties from Russian attacks
4aAkadE4vTU,Coordinating Palmyra - the massive destruction caused by Russian aircraft bombing of the city this morning,Palmyra Coordination,تنسيقية تدمر - آثار الدمار الهائل جراء القصف من الطيران الروسي على المدينة صباح اليوم 9-3-2016,2016-03-09 11:43:56+00:00,34.55972222,38.31583333,HOMS : Palmyra,RU_1013,Alleged civilian casualties from Russian attacks
uc6lGcbEC3s,Coordinating Palmyra - one of the Russian aircarft raids on the city's neighborhoods,Palmyra Coordination,تنسيقية تدمر - إحدى غارات الطيران الروسي على أحياء المدينة 9 3 2016,2016-03-09 10:22:39+00:00,34.55972222,38.31583333,HOMS : Palmyra,RU_1014,Alleged civilian casualties from Russian attacks
UGB5Z2JGV-8,Destruction in Idlib as a result of the Russian airstrikes,Syrian Network for Human Rights,إدلب – الناجية: دمارجراء قصف الطيران الحربي يزعم انه روسي البلدة بالصواريخ 8 3 2016,2016-03-09 07:29:46+00:00,35.790646,36.212012,IDLIB : Al-Najeya,RU_1015,Alleged civilian casualties from Russian attacks
ru1RC8-5jtE,Remnants of rocket fired during Russian bombing of the city of al-Lataminah in Hama,المركز الصحفي السوري-Syrian Press Centre,تفجير صاروخ من مخلفات القصف الروسي على مدينة اللطامنة في ريف حماة,2016-03-06 20:22:09+00:00,35.326749,36.621766,HAMA : latamneh,RU_1016,Alleged civilian casualties from Russian attacks
4VGv_YoaynI,Destruction and damage in the field hospital as a result of the Russian airstrikes,Syrian Network for Human Rights,إدلب – الحامدية: دمار في المشفى الميداني جراء قصف طيران حربي يزعم انه روسي بالصورايخ جـ1 15 2 2016,2016-03-06 17:57:53+00:00,"35°36'58.51""N","36°39'18.96""E",IDLIB : Al hamidia,RU_1017,Alleged civilian casualties from Russian attacks
4YvR6SxE8k4,Remnants of cluster bomb dropped during Russian aggression on the city of al-Lataminah in Hama countryside,محمود الحموي-Mahmoud Alhamwi,تفجير صاروخ عنقودي من مخلفات العدوان الروسي على مدينة اللطامنة بريف حماة 6 3 2016,2016-03-06 11:49:52+00:00,35.326749,36.621766,HAMA : latamneh,RU_1018,Alleged civilian casualties from Russian attacks
FPVwqiL_5MM,Destruction in 2 ambulances due to suspected Russian shelling 26 Feb 2016 ,Syrian Network for Human Rights,تضرر سيارتي اسعاف جراء قصف طيران حربي يزعم أنه روسي,2016-03-06 01:17:19+00:00,36.2833397,36.8499899,ALEPPO : Darat Izzah,RU_1019,Alleged civilian casualties from Russian attacks
rIDJQHRcmlY,Desctruction and damage in a school as a result of the Russian airstrikes on Hayyan,Syrian Network for Human Rights,حلب – حيان: دمار في مدرسة جراء قصف طيران الحربي يزعم انه روسي بالصورايخ جـ 2 2 2 2016,2016-03-06 01:17:19+00:00,36.3248097,37.0586887,ALEPPO : Hayyan,RU_1020,Alleged civilian casualties from Russian attacks
7cWXjCm1ES0,Desctruction and damage in Al sheikh qassem mousque as a result of the Russian airstrikes on Hayyan,Syrian Network for Human Rights,حلب – حيان: دمار في مسجد الشيخ قاسم جراء قصف طيران الحربي يزعم انه روسي بالصورايخ جـ2 10 2 2016,2016-03-06 01:17:19+00:00,36.3248097,37.0586887,ALEPPO : Hayyan,RU_1021,Alleged civilian casualties from Russian attacks
SCANedw247E,Destruction in Aleppo as a result of the Russian airstrikes,Syrian Network for Human Rights,حلب – الميسر: دمار في الحي جراء قصف طيران الحربي يزعم انه روسي بالصورايخ 20 2 2016,2016-03-06 01:17:18+00:00,36.1961392,37.1830665,,RU_1022,Alleged civilian casualties from Russian attacks
Ve4Sx2NtLaE,Desctruction and damage in a school as a result of the Russian airstrikes on Hayyan,Syrian Network for Human Rights,حلب – حيان: دمار في مدرسة جراء قصف طيران الحربي يزعم انه روسي بالصورايخ 10 2 2016,2016-03-06 01:17:18+00:00,36.3248097,37.0586887,ALEPPO : Hayyan,RU_1023,Alleged civilian casualties from Russian attacks
2Fav8se5IP8,Desctruction and damage in a school as a result of the Russian airstrikes on Hayyan,Syrian Network for Human Rights,حلب – حيان: دمار في مدرسة جراء قصف طيران الحربي يزعم انه روسي بالصورايخ جـ 1 2 2 2016,2016-03-06 01:17:18+00:00,36.3248097,37.0586887,ALEPPO : Hayyan,RU_1024,Alleged civilian casualties from Russian attacks
cLIKcJaLuIs,Aleppo - Tal Refaat: Destruction as a result of bombing by allegedly Russian warplanes.,Syrian Network for Human Rights,حلب – تل رفعت: دمار جراء قصف طيران الحربي يزعم انه روسي المدينة بالصورايخ جـ2 1 2 2016,2016-03-06 01:17:18+00:00,36°28'36N,37°5′50″E,ALEPPO : Tal Rifaat,RU_1025,Alleged civilian casualties from Russian attacks
a0SNtaT369Y,Destruction in Aleppo as a result of the Russian airstrikes,Syrian Network for Human Rights,حلب – الصاخور: دمار جراء قصف طيران الحربي يزعم انه روسي الحي بالصورايخ 5 2 2106,2016-03-06 01:17:17+00:00,36.2203437,37.1804809,ALEPPO : Sakhour,RU_1026,Alleged civilian casualties from Russian attacks
qpkOBwsBtkQ,A survivor of the bombing of the Russian airline's Hospital # MSF recounts the details of what has happened during hospital bombing,almarra today,‫ناجية من قصف الطيران الروسي لـ ‫#‏مشفى_أطباء‬ _بلا_حدود تروي تفاصيل ما حدث قصف المشفى,2016-03-05 18:02:05+00:00,35.6478097,36.6679429,IDLIB : Maret Numan,RU_1027,Alleged civilian casualties from Russian attacks
yGnNmFs08JI,The suffering of residents in the countryside of the city of Homs in removing the devastation  from homes because of the bombing of the frequent flight,عين على الوطن-Ein ala watan media office,معاناة الاهالي في ريف مدينة حمص في ازالة الدمار عن المنازل بسبب قصف الطيران المتكرر,2016-03-03 15:10:29+00:00,34.91639,36.733818,HOMS,RU_1028,Alleged civilian casualties from Russian attacks
WzTJZfSR9b4,Syria - Damascus: Monitoring the devastation caused by the repeated shelling of the city is Dumaa by Russian aircraft,SMO Syria,سوريا - ريف دمشق : رصد الدمار الذي خلفه القصف المتكرر لمدينة دوما من قبل الطائرات الروسية,2016-03-02 14:09:39+00:00,33.5709426,36.3968945,DAMASCUS : Duma,RU_1029,Alleged civilian casualties from Russian attacks
uz3Xkk2QjSc,The effects of the destruction caused by the bombing of the Russian occupation planes on the city Dumaa Damascus countryside,baladi- news,آثار الدمار جراء قصف طائرات الاحتلال الروسي على مدينة دوما بريف دمشق 2016/3/2,2016-03-02 10:43:29+00:00,33.5709426,36.3968945,DAMASCUS : Duma,RU_1030,Alleged civilian casualties from Russian attacks
